0,4.5894,0
0.1,4.9572,0
0.2,4.9753,0
0.3,4.981,0
0.4,4.9762,0
0.5,4.9667,0
0.6,4.9534,0
0.7,4.9439,0
0.8,4.9487,0
0.9,4.9639,0
1,4.9867,0
1.1,5.0038,0
1.2,5.0095,0
1.3,5.0124,0
1.4,5.0095,0
1.5,5.0143,0
1.6,5.0285,0
1.7,5.0409,0
1.8,5.058,0
1.9,5.0779,0
2,5.0922,0
2.1,5.0941,0
2.2,5.0875,0
2.3,5.076,0
2.4,5.0675,0
2.5,5.0741,0
2.6,5.0903,0
2.7,5.1036,0
2.8,5.1103,0
2.9,5.1055,0
3,5.0903,0
3.1,5.0722,0
3.2,5.0646,0
3.3,5.0637,0
3.4,5.0837,0
3.5,5.1036,0
3.6,5.115,0
3.7,5.1293,0
3.8,5.1302,0
3.9,5.1198,0
4,5.1112,0
4.1,5.1198,0
4.2,5.1378,0
4.3,5.1606,0
4.4,5.1797,0
4.5,5.1835,0
4.6,5.1683,0
4.7,5.1511,0
4.8,5.135,0
4.9,5.135,0
5,5.1521,0
5.1,5.1806,0
5.2,5.2063,0
5.3,5.2196,0
5.4,5.1968,0
5.5,5.1749,0
5.6,5.1721,0
5.7,5.1825,0
5.8,5.2101,0
5.9,5.2586,0
6,5.2975,0
6.1,5.307,0
6.2,5.2956,0
6.3,5.2776,0
6.4,5.2548,0
6.5,5.2538,0
6.6,5.2766,0
6.7,5.3108,0
6.8,5.3451,0
6.9,5.3612,0
7,5.3527,0
7.1,5.3337,0
7.2,5.3175,0
7.3,5.3013,0
7.4,5.2956,0
7.5,5.3099,0
7.6,5.3337,0
7.7,5.3546,0
7.8,5.366,0
7.9,5.3612,0
8,5.3451,0
8.1,5.3365,0
8.2,5.3384,0
8.3,5.3546,0
8.4,5.3793,0
8.5,5.4059,0
8.6,5.423,0
8.7,5.4363,0
8.8,5.4278,0
8.9,5.4154,0
9,5.4173,0
9.1,5.4297,0
9.2,5.4392,0
9.3,5.4458,0
9.4,5.4458,0
9.5,5.4458,0
9.6,5.443,0
9.7,5.4458,0
9.8,5.4468,0
9.9,5.4439,0
10,5.4373,0
10.1,5.4373,0
10.2,5.443,0
10.3,5.4544,0
10.4,5.4705,0
10.5,5.4962,0
10.6,5.5133,0
10.7,5.5209,0
10.8,5.5181,0
10.9,5.5143,0
11,5.5181,0
11.1,5.5323,0
11.2,5.5504,0
11.3,5.5646,0
11.4,5.5722,0
11.5,5.5713,0
11.6,5.5694,0
11.7,5.5684,0
11.8,5.5561,0
11.9,5.5437,0
12,5.5485,0
12.1,5.5627,0
12.2,5.5789,0
12.3,5.5875,0
12.4,5.5827,0
12.5,5.5722,0
12.6,5.5684,0
12.7,5.5751,0
12.8,5.5998,0
12.9,5.6302,0
13,5.6549,0
13.1,5.6654,0
13.2,5.6597,0
13.3,5.6511,0
13.4,5.6483,0
13.5,5.6616,0
13.6,5.6854,0
13.7,5.7063,0
13.8,5.7158,0
13.9,5.7158,0
14,5.7006,0
14.1,5.6835,0
14.2,5.6721,0
14.3,5.6749,0
14.4,5.6949,0
14.5,5.7167,0
14.6,5.7291,0
14.7,5.7376,0
14.8,5.7291,0
14.9,5.7129,0
15,5.7158,0
15.1,5.7376,0
15.2,5.7633,0
15.3,5.7994,0
15.4,5.8118,0
15.5,5.8222,0
15.6,5.8317,0
15.7,5.8356,0
15.8,5.8308,0
15.9,5.8298,0
16,5.8317,0
16.1,5.8451,0
16.2,5.8565,0
16.3,5.8555,0
16.4,5.8479,0
16.5,5.8508,0
16.6,5.8584,0
16.7,5.8517,0
16.8,5.8203,0
16.9,5.7975,0
17,5.8089,0
17.1,5.8451,0
17.2,5.8726,0
17.3,5.865,0
17.4,5.8479,0
17.5,5.8546,0
17.6,5.8812,0
17.7,5.9002,0
17.8,5.9068,0
17.9,5.9068,0
18,5.9259,0
18.1,5.9553,0
18.2,5.9629,0
18.3,5.9411,0
18.4,5.9335,0
18.5,5.9629,0
18.6,6.001,0
18.7,5.9677,0
18.8,5.9297,0
18.9,5.9306,0
19,5.9572,0
19.1,5.9772,0
19.2,5.9677,0
19.3,5.9411,0
19.4,5.9458,0
19.5,5.9743,0
19.6,5.9933,0
19.7,5.9924,0
19.8,5.9943,0
19.9,6.0171,0
20,6.0542,0
20.1,6.0732,0
